"Date","Price","Open","High","Low","Vol.","Change %"
"31/03/2025","375.39","372.54","377.07","367.24","35.18M","-0.90%"
"28/03/2025","378.80","388.08","389.13","376.93","21.63M","-3.02%"
"27/03/2025","390.58","390.13","392.24","387.39","13.77M","0.16%"
"26/03/2025","389.97","395.00","395.31","388.57","16.13M","-1.31%"
"25/03/2025","395.16","393.92","396.36","392.64","15.77M","0.53%"
"24/03/2025","393.08","395.40","395.40","389.81","21.00M","0.47%"
"21/03/2025","391.26","383.21","391.74","382.80","39.68M","1.14%"
"20/03/2025","386.84","385.73","391.79","383.28","18.47M","-0.25%"
"19/03/2025","387.82","385.52","389.68","384.00","19.19M","1.12%"
"18/03/2025","383.52","387.07","387.37","381.10","19.49M","-1.33%"
"17/03/2025","388.70","386.70","392.70","385.57","22.47M","0.04%"
"14/03/2025","388.56","379.77","390.23","379.51","19.95M","2.58%"
"13/03/2025","378.77","383.15","385.32","377.45","20.47M","-1.17%"
"12/03/2025","383.27","382.95","385.22","378.95","24.25M","0.74%"
"11/03/2025","380.45","379.00","386.00","376.91","30.38M","0.08%"
"10/03/2025","380.16","385.84","386.40","377.22","32.84M","-3.34%"
"07/03/2025","393.31","392.32","394.80","385.54","22.03M","-0.90%"
"06/03/2025","396.89","394.28","402.15","392.68","23.30M","-1.03%"
"05/03/2025","401.02","389.34","401.67","388.81","23.43M","3.19%"
"04/03/2025","388.61","383.40","392.58","381.00","29.34M","0.03%"
"03/03/2025","388.49","398.82","398.82","386.15","23.01M","-2.14%"
"28/02/2025","396.99","392.65","397.63","386.57","32.85M","1.14%"
"27/02/2025","392.53","401.27","405.74","392.17","21.13M","-1.80%"
"26/02/2025","399.73","398.01","403.60","394.24","19.62M","0.46%"
"25/02/2025","397.90","401.10","401.92","396.70","29.39M","-1.51%"
"24/02/2025","404.00","408.51","409.37","399.32","26.44M","-1.03%"
"21/02/2025","408.21","417.33","418.05","407.89","27.52M","-1.90%"
"20/02/2025","416.13","415.29","419.31","412.54","23.51M","0.33%"
"19/02/2025","414.77","407.88","415.49","407.65","24.11M","1.25%"
"18/02/2025","409.64","408.00","410.60","406.50","21.42M","0.30%"
"14/02/2025","408.43","407.79","408.91","405.88","22.76M","-0.51%"
"13/02/2025","410.54","407.00","411.00","406.36","23.89M","0.37%"
"12/02/2025","409.04","407.21","410.75","404.37","19.12M","-0.58%"
"11/02/2025","411.44","409.64","412.49","409.30","18.14M","-0.19%"
"10/02/2025","412.22","413.71","415.46","410.92","20.82M","0.60%"
"07/02/2025","409.75","416.48","418.65","408.10","22.89M","-1.46%"
"06/02/2025","415.82","414.00","418.20","414.00","16.31M","0.61%"
"05/02/2025","413.29","412.35","413.83","410.40","16.34M","0.22%"
"04/02/2025","412.37","412.68","413.92","409.74","20.53M","0.35%"
"03/02/2025","410.92","411.60","415.41","408.66","25.68M","-1.00%"
"31/01/2025","415.06","418.98","420.69","414.91","34.22M","0.02%"
"30/01/2025","414.99","418.77","422.86","413.16","54.59M","-6.18%"
"29/01/2025","442.33","446.69","446.88","440.40","23.58M","-1.09%"
"28/01/2025","447.20","434.60","448.38","431.38","23.49M","2.91%"
"27/01/2025","434.56","424.01","435.20","423.50","35.65M","-2.14%"
"24/01/2025","444.06","445.16","446.65","441.40","15.55M","-0.59%"
"23/01/2025","446.71","442.00","446.75","441.50","18.39M","0.11%"
"22/01/2025","446.20","437.56","447.27","436.00","27.80M","4.13%"
"21/01/2025","428.50","430.20","430.90","425.60","26.09M","-0.12%"
"17/01/2025","429.03","434.08","434.48","428.17","26.20M","1.05%"
"16/01/2025","424.58","428.70","429.49","424.39","15.30M","-0.41%"
"15/01/2025","426.31","419.13","428.15","418.27","19.64M","2.56%"
"14/01/2025","415.67","417.81","419.74","410.72","16.94M","-0.36%"
"13/01/2025","417.19","415.23","418.50","412.29","17.60M","-0.42%"
"10/01/2025","418.95","424.63","424.71","415.02","20.20M","-1.32%"
"08/01/2025","424.56","423.46","426.97","421.54","15.05M","0.52%"
"07/01/2025","422.37","429.00","430.65","420.80","18.14M","-1.28%"
"06/01/2025","427.85","428.00","434.32","425.48","20.57M","1.06%"
"03/01/2025","423.35","421.08","424.03","419.54","16.66M","1.14%"
"02/01/2025","418.58","425.53","426.07","414.85","16.90M","-0.69%"
"31/12/2024","421.50","426.10","426.73","420.66","13.25M","-0.78%"
"30/12/2024","424.83","426.06","427.55","421.90","13.16M","-1.32%"
"27/12/2024","430.53","434.60","435.22","426.35","18.12M","-1.73%"
"26/12/2024","438.11","439.08","440.94","436.63","8.20M","-0.28%"
"24/12/2024","439.33","434.65","439.60","434.19","7.16M","0.94%"
"23/12/2024","435.25","436.74","437.65","432.83","19.15M","-0.31%"
"20/12/2024","436.60","433.11","443.74","428.63","64.26M","-0.10%"
"19/12/2024","437.03","441.62","443.18","436.32","22.96M","-0.08%"
"18/12/2024","437.39","451.32","452.65","437.02","24.44M","-3.76%"
"17/12/2024","454.46","451.01","455.29","449.57","22.73M","0.64%"
"16/12/2024","451.59","447.27","452.18","445.28","23.60M","0.97%"
"13/12/2024","447.27","448.43","451.43","445.58","20.18M","-0.51%"
"12/12/2024","449.56","449.11","456.16","449.11","20.83M","0.13%"
"11/12/2024","448.99","444.05","450.35","444.05","19.20M","1.28%"
"10/12/2024","443.33","444.39","449.62","441.60","18.47M","-0.60%"
"09/12/2024","446.02","442.60","448.33","440.50","19.14M","0.55%"
"06/12/2024","443.57","442.30","446.10","441.77","18.82M","0.21%"
"05/12/2024","442.62","437.92","444.66","436.17","21.70M","1.19%"
"04/12/2024","437.42","433.03","439.67","432.63","26.01M","1.44%"
"03/12/2024","431.20","429.84","432.47","427.74","18.30M","0.05%"
"02/12/2024","430.98","421.57","433.00","421.31","20.21M","1.78%"
"29/11/2024","423.46","420.09","424.88","417.80","16.27M","0.11%"
"27/11/2024","422.99","425.11","427.23","422.02","18.33M","-1.17%"
"26/11/2024","427.99","419.58","429.04","418.85","23.46M","2.20%"
"25/11/2024","418.79","418.38","421.08","414.85","27.69M","0.43%"
"22/11/2024","417.00","411.36","417.40","411.06","24.81M","1.00%"
"21/11/2024","412.87","419.50","419.78","410.29","20.78M","-0.63%"
"20/11/2024","415.49","416.87","417.29","410.58","19.19M","-0.55%"
"19/11/2024","417.79","413.11","417.94","411.55","18.13M","0.49%"
"18/11/2024","415.76","414.87","418.40","412.10","24.74M","0.18%"
"15/11/2024","415.00","419.82","422.80","413.64","28.25M","-2.79%"
"14/11/2024","426.89","425.00","428.17","420.00","30.25M","0.40%"
"13/11/2024","425.20","421.64","429.33","418.21","21.50M","0.51%"
"12/11/2024","423.03","418.25","424.44","417.20","19.40M","1.20%"
"11/11/2024","418.01","422.52","424.81","416.00","24.50M","-1.07%"
"08/11/2024","422.54","425.32","426.50","421.78","16.89M","-0.68%"
"07/11/2024","425.43","421.28","426.85","419.88","19.90M","1.25%"
"06/11/2024","420.18","412.42","420.45","410.52","26.68M","2.12%"
"05/11/2024","411.46","408.37","414.90","408.08","17.63M","0.73%"
"04/11/2024","408.46","409.80","410.42","405.57","19.67M","-0.47%"
"01/11/2024","410.37","409.01","415.50","407.50","24.23M","0.99%"
"31/10/2024","406.35","415.36","416.16","406.30","53.97M","-6.05%"
"30/10/2024","432.53","437.43","438.50","432.10","29.75M","0.13%"
"29/10/2024","431.95","428.00","433.17","425.80","17.64M","1.26%"
"28/10/2024","426.59","431.65","431.94","426.30","14.88M","-0.36%"
"25/10/2024","428.15","426.76","432.52","426.57","16.90M","0.81%"
"24/10/2024","424.73","425.33","425.98","422.40","13.58M","0.03%"
"23/10/2024","424.60","430.86","431.08","422.53","19.65M","-0.68%"
"22/10/2024","427.51","418.49","430.58","418.04","25.48M","2.08%"
"21/10/2024","418.78","416.12","418.96","413.75","14.21M","0.15%"
"18/10/2024","418.16","417.14","419.65","416.26","17.15M","0.35%"
"17/10/2024","416.72","422.36","422.50","415.59","14.82M","0.14%"
"16/10/2024","416.12","415.17","416.36","410.48","15.51M","-0.63%"
"15/10/2024","418.74","422.18","422.48","415.26","18.90M","-0.10%"
"14/10/2024","419.14","417.77","424.04","417.52","16.65M","0.68%"
"11/10/2024","416.32","416.14","417.13","413.25","14.14M","0.12%"
"10/10/2024","415.84","415.23","417.35","413.15","13.85M","-0.39%"
"09/10/2024","417.46","415.86","420.38","414.30","14.97M","0.66%"
"08/10/2024","414.71","410.90","415.66","408.17","19.23M","1.26%"
"07/10/2024","409.54","416.00","417.11","409.00","20.92M","-1.57%"
"04/10/2024","416.06","418.24","419.75","414.97","19.19M","-0.12%"
"03/10/2024","416.54","417.63","419.55","414.29","13.69M","-0.14%"
"02/10/2024","417.13","422.58","422.82","416.71","16.58M","-0.85%"
"01/10/2024","420.69","428.45","428.48","418.81","19.09M","-2.23%"
